HPO_id	phenotype_group_k1000	phenotype_group_k1500
HP:0001274	397	397
HP:0001276	741	370
HP:0001278	732	732
HP:0001279	607	1215
HP:0001281	161	183
HP:0001283	24	52
HP:0001284	831	831
HP:0001285	209	23
HP:0001287	458	113
HP:0001288	913	913
HP:0001289	465	232
HP:0001290	250	1195
HP:0001291	41	535
HP:0001293	41	535
HP:0001297	629	1260
HP:0001298	24	522
HP:0001300	495	705
HP:0001301	159	253
HP:0001302	86	1160
HP:0001304	262	660
HP:0001305	442	220
HP:0001308	162	1309
HP:0001310	519	1040
HP:0001311	79	1187
HP:0001312	79	847
HP:0001315	831	831
HP:0001317	697	1395
HP:0001319	250	1374
HP:0001320	442	220
HP:0001321	712	712
HP:0001324	213	681
HP:0001325	465	232
HP:0001326	182	518
HP:0001327	180	590
HP:0001328	62	1052
HP:0001331	578	1157
HP:0001332	262	660
HP:0001334	724	724
HP:0001335	7	5
HP:0001336	954	954
HP:0001337	162	1309
HP:0001338	397	397
HP:0001339	86	1160
HP:0001340	79	847
HP:0001341	278	658
HP:0001342	563	140
HP:0001343	792	792
HP:0001344	245	637
HP:0001345	637	1276
HP:0001347	881	219
HP:0001348	881	219
HP:0001349	656	656
HP:0001350	134	856
HP:0001351	79	847
HP:0001355	433	433
HP:0001357	144	1275
HP:0001360	792	792
HP:0001361	633	157
HP:0001362	144	161
HP:0001363	887	443
HP:0001367	544	1089
HP:0001369	452	452
HP:0001370	452	452
HP:0001371	111	1117
HP:0001373	544	1089
HP:0001374	401	401
HP:0001376	200	697
HP:0001377	5	1004
HP:0001382	131	289
HP:0001384	401	401
HP:0001385	401	401
HP:0001386	155	8
HP:0001387	200	697
HP:0001388	131	509
HP:0001392	516	1332
HP:0001394	25	1179
HP:0001395	25	1303
HP:0001396	516	1332
HP:0001397	432	432
HP:0001399	313	627
HP:0001401	345	345
HP:0001402	230	88
HP:0001403	432	432
HP:0001404	25	101
HP:0001405	25	1303
HP:0001406	60	1252
HP:0001407	25	101
HP:0001408	345	345
HP:0001409	808	808
HP:0001410	313	627
HP:0001412	25	1035
HP:0001413	25	1179
HP:0001414	432	432
HP:0001421	893	893
HP:0001430	702	702
HP:0001433	25	101
HP:0001435	893	893
HP:0001436	702	702
HP:0001437	702	702
HP:0001438	811	811
HP:0001440	343	343
HP:0001441	918	458
HP:0001443	917	917
HP:0001445	917	917
HP:0001446	893	893
HP:0001449	247	160
HP:0001454	893	893
HP:0001457	110	512
HP:0001459	222	199
HP:0001460	110	325
HP:0001464	110	1199
HP:0001465	685	1371
HP:0001467	110	1199
HP:0001468	110	512
HP:0001469	917	917
HP:0001471	917	917
HP:0001473	247	160
HP:0001474	99	123
HP:0001476	194	1310
HP:0001477	36	130
HP:0001480	463	122
HP:0001482	605	605
HP:0001483	408	1397
HP:0001488	517	1143
HP:0001489	355	110
HP:0001491	951	951
HP:0001492	896	896
HP:0001493	105	604
HP:0001495	610	1222
HP:0001498	76	1071
HP:0001500	357	1190
HP:0001501	137	1308
HP:0001504	610	1222
HP:0001507	491	491
HP:0001508	769	384
HP:0001510	491	491
HP:0001511	679	679
HP:0001513	441	441
HP:0001518	769	384
HP:0001519	298	894
HP:0001520	441	441
HP:0001525	769	384
HP:0001528	721	721
HP:0001530	799	799
HP:0001531	769	384
HP:0001533	769	384
HP:0001537	399	49
HP:0001538	169	398
HP:0001539	399	49
HP:0001540	888	888
HP:0001541	506	125
HP:0001543	399	49
HP:0001544	399	49
HP:0001545	521	31
HP:0001547	140	189
HP:0001548	298	894
HP:0001549	78	4
HP:0001551	399	49
HP:0001552	140	1090
HP:0001555	140	1090
HP:0001557	239	563
HP:0001558	239	563
HP:0001560	239	1106
HP:0001561	225	464
HP:0001562	225	464
HP:0001563	225	464
HP:0001566	417	717
HP:0001571	462	230
HP:0001572	114	169
HP:0001574	411	1434
HP:0001575	66	1032
HP:0001579	606	606
HP:0001580	291	780
HP:0001581	309	1018
HP:0001582	122	633
HP:0001583	633	157
HP:0001586	723	1447
HP:0001591	140	1090
HP:0001592	150	589
HP:0001593	114	169
HP:0001595	909	112
HP:0001596	926	926
HP:0001597	44	347
HP:0001598	44	1105
HP:0001600	916	916
HP:0001601	45	218
HP:0001602	45	218
HP:0001604	843	843
HP:0001605	843	843
HP:0001607	45	218
HP:0001608	780	194
HP:0001609	780	194
HP:0001611	780	194
HP:0001612	780	194
HP:0001615	780	194
HP:0001618	245	637
HP:0001620	780	194
HP:0001621	780	194
HP:0001622	614	615
HP:0001623	614	310
HP:0001626	607	1215
HP:0001627	55	1057
HP:0001629	523	1047
HP:0001631	410	948
HP:0001633	678	678
HP:0001634	678	678
HP:0001635	26	63
HP:0001636	622	1304
HP:0001637	742	742
HP:0001638	742	742
HP:0001639	742	742
HP:0001640	55	1057
HP:0001641	455	421
HP:0001642	123	224
HP:0001643	369	1138
HP:0001644	1	61
HP:0001645	2	1248
HP:0001646	455	421
HP:0001647	561	280
HP:0001648	103	285
HP:0001649	586	586
HP:0001650	123	224
HP:0001651	402	99
HP:0001653	123	565
HP:0001654	455	421
HP:0001655	410	948
HP:0001657	19	233
HP:0001658	26	63
HP:0001659	123	224
HP:0001660	369	264
HP:0001662	2	581
HP:0001663	2	581
HP:0001664	2	581
HP:0001667	103	285
HP:0001669	622	1304
HP:0001670	1	61
HP:0001671	55	1057
HP:0001674	871	871
HP:0001677	353	176
HP:0001678	257	164
HP:0001679	146	64
HP:0001680	146	64
HP:0001681	26	63
HP:0001682	652	1306
HP:0001683	402	99
HP:0001684	410	948
HP:0001685	1	1485
HP:0001686	780	194
HP:0001688	2	1001
HP:0001691	652	1306
HP:0001692	223	111
HP:0001693	283	1336
HP:0001694	283	1336
HP:0001695	2	1248
HP:0001696	709	709
HP:0001697	675	20
HP:0001698	675	20
HP:0001700	1	635
HP:0001701	528	263
HP:0001702	736	736
HP:0001704	736	736
HP:0001705	834	834
HP:0001706	939	939
HP:0001707	103	285
